# FUND scenario
2031,USA,37.5
2031,CAN,6.1
2031,WEU,20
2031,JPK,3.2
2031,ANZ,4.9
2031,EEU,10.1
2031,FSU,65.5
2031,MDE,19.9
2031,CAM,11.3
2031,LAM,46.5
2031,SAS,44.9
2031,SEA,64.1
2031,CHI,54.8
2031,MAF,18.9
2031,SSA,28.8
2031,SIS,2.2
2032,USA,37.8
2032,CAN,6
2032,WEU,19.9
2032,JPK,3.3
2032,ANZ,5
2032,EEU,9.9
2032,FSU,65.8
2032,MDE,20.6
2032,CAM,11.4
2032,LAM,47.2
2032,SAS,45.4
2032,SEA,64.5
2032,CHI,55.8
2032,MAF,19.5
2032,SSA,29.4
2032,SIS,2.2
2033,USA,38.1
2033,CAN,5.9
2033,WEU,19.9
2033,JPK,3.3
2033,ANZ,5
2033,EEU,9.8
2033,FSU,66
2033,MDE,21.2
2033,CAM,11.4
2033,LAM,48
2033,SAS,46
2033,SEA,64.8
2033,CHI,56.8
2033,MAF,20.1
2033,SSA,30.1
2033,SIS,2.3
2034,USA,38.4
2034,CAN,5.8
2034,WEU,19.9
2034,JPK,3.3
2034,ANZ,5
2034,EEU,9.6
2034,FSU,66.2
2034,MDE,21.9
2034,CAM,11.5
2034,LAM,48.7
2034,SAS,46.5
2034,SEA,65.2
2034,CHI,57.8
2034,MAF,20.7
2034,SSA,30.8
2034,SIS,2.3
2035,USA,38.6
2035,CAN,5.5
2035,WEU,19.7
2035,JPK,3.3
2035,ANZ,5.4
2035,EEU,9.4
2035,FSU,65.7
2035,MDE,22.9
2035,CAM,11.4
2035,LAM,49.5
2035,SAS,47
2035,SEA,64.8
2035,CHI,59.3
2035,MAF,21.6
2035,SSA,31.1
2035,SIS,2.3
2036,USA,38.9
2036,CAN,5.6
2036,WEU,19.9
2036,JPK,3.4
2036,ANZ,5
2036,EEU,9.4
2036,FSU,66.7
2036,MDE,23.2
2036,CAM,11.6
2036,LAM,50.1
2036,SAS,47.6
2036,SEA,66
2036,CHI,59.8
2036,MAF,21.9
2036,SSA,32.1
2036,SIS,2.3
2037,USA,39
2037,CAN,5.6
2037,WEU,19.9
2037,JPK,3.4
2037,ANZ,5
2037,EEU,9.4
2037,FSU,66.8
2037,MDE,23.9
2037,CAM,11.8
2037,LAM,50.2
2037,SAS,48.2
2037,SEA,66.7
2037,CHI,60.8
2037,MAF,22.5
2037,SSA,32.7
2037,SIS,2.3
2038,USA,39.2
2038,CAN,5.6
2038,WEU,19.8
2038,JPK,3.4
2038,ANZ,5
2038,EEU,9.4
2038,FSU,66.8
2038,MDE,24.7
2038,CAM,12.1
2038,LAM,50.4
2038,SAS,48.8
2038,SEA,67.4
2038,CHI,61.8
2038,MAF,23.2
2038,SSA,33.3
2038,SIS,2.3
2039,USA,39.3
2039,CAN,5.5
2039,WEU,19.8
2039,JPK,3.4
2039,ANZ,5
2039,EEU,9.3
2039,FSU,66.9
2039,MDE,25.5
2039,CAM,12.3
2039,LAM,50.5
2039,SAS,49.4
2039,SEA,68.1
2039,CHI,62.9
2039,MAF,23.9
2039,SSA,33.9
2039,SIS,2.4
2040,USA,39.2
2040,CAN,5.4
2040,WEU,19.7
2040,JPK,3.3
2040,ANZ,5.4
2040,EEU,9.4
2040,FSU,66.1
2040,MDE,26.7
2040,CAM,12.5
2040,LAM,50.2
2040,SAS,50
2040,SEA,68.3
2040,CHI,64.5
2040,MAF,25
2040,SSA,34.1
2040,SIS,2.4
2041,USA,39.5
2041,CAN,5.5
2041,WEU,19.8
2041,JPK,3.4
2041,ANZ,5.1
2041,EEU,9.3
2041,FSU,67.1
2041,MDE,27
2041,CAM,12.7
2041,LAM,50.8
2041,SAS,50.6
2041,SEA,69.6
2041,CHI,65
2041,MAF,25.2
2041,SSA,35.1
2041,SIS,2.4
2042,USA,39.6
2042,CAN,5.6
2042,WEU,19.8
2042,JPK,3.4
2042,ANZ,5
2042,EEU,9.3
2042,FSU,67
2042,MDE,27.8
2042,CAM,12.8
2042,LAM,51.4
2042,SAS,51.3
2042,SEA,70.3
2042,CHI,66
2042,MAF,25.9
2042,SSA,36
2042,SIS,2.4
2043,USA,39.6
2043,CAN,5.7
2043,WEU,19.7
2043,JPK,3.4
2043,ANZ,5
2043,EEU,9.3
2043,FSU,67
2043,MDE,28.6
2043,CAM,12.8
2043,LAM,52
2043,SAS,51.9
2043,SEA,71
2043,CHI,67.1
2043,MAF,26.5
2043,SSA,36.9
2043,SIS,2.4
2044,USA,39.6
2044,CAN,5.7
2044,WEU,19.7
2044,JPK,3.4
2044,ANZ,5
2044,EEU,9.3
2044,FSU,66.9
2044,MDE,29.4
2044,CAM,12.9
2044,LAM,52.5
2044,SAS,52.6
2044,SEA,71.8
2044,CHI,68.2
2044,MAF,27.2
2044,SSA,37.8
2044,SIS,2.5
2045,USA,39.3
2045,CAN,5.8
2045,WEU,19.4
2045,JPK,3.4
2045,ANZ,5.4
2045,EEU,9.3
2045,FSU,65.8
2045,MDE,30.8
2045,CAM,12.8
2045,LAM,53.1
2045,SAS,53.2
2045,SEA,72.1
2045,CHI,69.8
2045,MAF,28.3
2045,SSA,38.6
2045,SIS,2.5
2046,USA,39.6
2046,CAN,5.9
2046,WEU,19.6
2046,JPK,3.4
2046,ANZ,5
2046,EEU,9.2
2046,FSU,66.8
2046,MDE,31.1
2046,CAM,13
2046,LAM,53.7
2046,SAS,53.9
2046,SEA,73.3
2046,CHI,70.3
2046,MAF,28.5
2046,SSA,39.6
2046,SIS,2.5
2047,USA,39.6
2047,CAN,6
2047,WEU,19.5
2047,JPK,3.4
2047,ANZ,5
2047,EEU,9.2
2047,FSU,66.6
2047,MDE,31.8
2047,CAM,13.1
2047,LAM,54.1
2047,SAS,54.5
2047,SEA,73.4
2047,CHI,71.5
2047,MAF,29.1
2047,SSA,40
2047,SIS,2.5
2048,USA,39.7
2048,CAN,6.1
2048,WEU,19.5
2048,JPK,3.4
2048,ANZ,5
2048,EEU,9.1
2048,FSU,66.5
2048,MDE,32.5
2048,CAM,13.2
2048,LAM,54.6
2048,SAS,55.2
2048,SEA,73.5
2048,CHI,72.6
2048,MAF,29.7
2048,SSA,40.5
2048,SIS,2.5
2049,USA,39.7
2049,CAN,6.2
2049,WEU,19.4
2049,JPK,3.4
2049,ANZ,5
2049,EEU,9.1
2049,FSU,66.4
2049,MDE,33.3
2049,CAM,13.4
2049,LAM,55
2049,SAS,55.8
2049,SEA,73.7
2049,CHI,73.8
2049,MAF,30.3
2049,SSA,41
2049,SIS,2.6
2050,USA,39.3
2050,CAN,6.4
2050,WEU,19.3
2050,JPK,3.4
2050,ANZ,5.3
2050,EEU,9
2050,FSU,65.2
2050,MDE,34.5
2050,CAM,13.4
2050,LAM,55.3
2050,SAS,56.5
2050,SEA,72.7
2050,CHI,75.7
2050,MAF,31.3
2050,SSA,41
2050,SIS,2.6
2051,USA,39.7
2051,CAN,6.4
2051,WEU,19.4
2051,JPK,3.4
2051,ANZ,5
2051,EEU,8.9
2051,FSU,66.2
2051,MDE,34.8
2051,CAM,13.6
2051,LAM,56
2051,SAS,57.1
2051,SEA,73.9
2051,CHI,76.2
2051,MAF,31.5
2051,SSA,41.9
2051,SIS,2.6
2052,USA,39.8
2052,CAN,6.5
2052,WEU,19.3
2052,JPK,3.4
2052,ANZ,5
2052,EEU,8.9
2052,FSU,67.1
2052,MDE,35.6
2052,CAM,13.6
2052,LAM,57.1
2052,SAS,57.6
2052,SEA,74.4
2052,CHI,77.4
2052,MAF,31.9
2052,SSA,42.8
2052,SIS,2.6
2053,USA,39.9
2053,CAN,6.6
2053,WEU,19.3
2053,JPK,3.4
2053,ANZ,5.1
2053,EEU,8.9
2053,FSU,68
2053,MDE,36.5
2053,CAM,13.7
2053,LAM,58.2
2053,SAS,58.1
2053,SEA,74.8
2053,CHI,78.7
2053,MAF,32.4
2053,SSA,43.7
2053,SIS,2.6
2054,USA,40
2054,CAN,6.7
2054,WEU,19.3
2054,JPK,3.4
2054,ANZ,5.2
2054,EEU,8.9
2054,FSU,69
2054,MDE,37.3
2054,CAM,13.8
2054,LAM,59.4
2054,SAS,58.6
2054,SEA,75.3
2054,CHI,79.9
2054,MAF,32.8
2054,SSA,44.6
2054,SIS,2.7
2055,USA,39.9
2055,CAN,6.7
2055,WEU,19.1
2055,JPK,3.4
2055,ANZ,5.7
2055,EEU,9
2055,FSU,69.8
2055,MDE,38.7
2055,CAM,13.7
2055,LAM,61
2055,SAS,59
2055,SEA,74.9
2055,CHI,81.9
2055,MAF,33.3
2055,SSA,45.4
2055,SIS,2.7
2056,USA,40.3
2056,CAN,6.8
2056,WEU,19.2
2056,JPK,3.4
2056,ANZ,5.3
2056,EEU,8.9
2056,FSU,70.8
2056,MDE,39
2056,CAM,13.9
2056,LAM,61.6
2056,SAS,59.7
2056,SEA,76.2
2056,CHI,82.4
2056,MAF,33.6
2056,SSA,46.4
2056,SIS,2.7
2057,USA,40.4
2057,CAN,6.9
2057,WEU,19.2
2057,JPK,3.4
2057,ANZ,5.4
2057,EEU,8.9
2057,FSU,71.8
2057,MDE,39.8
2057,CAM,14
2057,LAM,61.5
2057,SAS,59.9
2057,SEA,77
2057,CHI,83.6
2057,MAF,33.5
2057,SSA,47.3
2057,SIS,2.7
2058,USA,40.5
2058,CAN,6.9
2058,WEU,19.1
2058,JPK,3.4
2058,ANZ,5.5
2058,EEU,8.9
2058,FSU,72.8
2058,MDE,40.7
2058,CAM,14.2
2058,LAM,61.5
2058,SAS,60.2
2058,SEA,77.7
2058,CHI,84.8
2058,MAF,33.3
2058,SSA,48.3
2058,SIS,2.7
2059,USA,40.7
2059,CAN,7
2059,WEU,19.1
2059,JPK,3.4
2059,ANZ,5.6
2059,EEU,8.9
2059,FSU,73.8
2059,MDE,41.5
2059,CAM,14.3
2059,LAM,61.4
2059,SAS,60.5
2059,SEA,78.5
2059,CHI,86.1
2059,MAF,33.2
2059,SSA,49.3
2059,SIS,2.8
2060,USA,40.6
2060,CAN,7
2060,WEU,19
2060,JPK,3.4
2060,ANZ,6.2
2060,EEU,8.9
2060,FSU,74.9
2060,MDE,42.8
2060,CAM,14.4
2060,LAM,60.6
2060,SAS,60.4
2060,SEA,78.8
2060,CHI,88
2060,MAF,32.7
2060,SSA,50.2
2060,SIS,2.8
2061,USA,40.9
2061,CAN,7
2061,WEU,19.1
2061,JPK,3.4
2061,ANZ,5.9
2061,EEU,8.9
2061,FSU,75.8
2061,MDE,43.1
2061,CAM,14.6
2061,LAM,61.2
2061,SAS,61
2061,SEA,80.1
2061,CHI,88.5
2061,MAF,33
2061,SSA,51.2
2061,SIS,2.8
2062,USA,41
2062,CAN,7.1
2062,WEU,19.1
2062,JPK,3.4
2062,ANZ,5.9
2062,EEU,8.9
2062,FSU,77.1
2062,MDE,43.8
2062,CAM,14.7
2062,LAM,61.7
2062,SAS,60.8
2062,SEA,81
2062,CHI,89.6
2062,MAF,32.5
2062,SSA,52.1
2062,SIS,2.8
2063,USA,41.1
2063,CAN,7.1
2063,WEU,19.1
2063,JPK,3.4
2063,ANZ,6
2063,EEU,8.9
2063,FSU,78.3
2063,MDE,44.5
2063,CAM,14.8
2063,LAM,62.1
2063,SAS,60.7
2063,SEA,82
2063,CHI,90.8
2063,MAF,32
2063,SSA,52.9
2063,SIS,2.8
2064,USA,41.3
2064,CAN,7.1
2064,WEU,19.1
2064,JPK,3.4
2064,ANZ,6
2064,EEU,9
2064,FSU,79.5
2064,MDE,45.1
2064,CAM,14.9
2064,LAM,62.5
2064,SAS,60.5
2064,SEA,82.9
2064,CHI,91.9
2064,MAF,31.5
2064,SSA,53.8
2064,SIS,2.9
2065,USA,41.1
2065,CAN,7.1
2065,WEU,19
2065,JPK,3.4
2065,ANZ,6.5
2065,EEU,9.1
2065,FSU,81
2065,MDE,46.2
2065,CAM,14.9
2065,LAM,62.7
2065,SAS,59.6
2065,SEA,83.6
2065,CHI,93.7
2065,MAF,30.2
2065,SSA,54.6
2065,SIS,2.9
2066,USA,41.5
2066,CAN,7.2
2066,WEU,19.2
2066,JPK,3.4
2066,ANZ,6.1
2066,EEU,9
2066,FSU,81.9
2066,MDE,46.5
2066,CAM,15.1
2066,LAM,63.3
2066,SAS,60.2
2066,SEA,84.8
2066,CHI,94.2
2066,MAF,30.5
2066,SSA,55.6
2066,SIS,2.9
2067,USA,41.6
2067,CAN,7.2
2067,WEU,19.2
2067,JPK,3.5
2067,ANZ,6.3
2067,EEU,9.1
2067,FSU,83.3
2067,MDE,46.8
2067,CAM,15.3
2067,LAM,64
2067,SAS,59.7
2067,SEA,86.3
2067,CHI,95.6
2067,MAF,30.5
2067,SSA,56.3
2067,SIS,2.9
2068,USA,41.7
2068,CAN,7.3
2068,WEU,19.2
2068,JPK,3.5
2068,ANZ,6.5
2068,EEU,9.2
2068,FSU,84.6
2068,MDE,47.2
2068,CAM,15.4
2068,LAM,64.7
2068,SAS,59.2
2068,SEA,87.7
2068,CHI,96.9
2068,MAF,30.5
2068,SSA,57.1
2068,SIS,2.9
2069,USA,41.7
2069,CAN,7.3
2069,WEU,19.3
2069,JPK,3.5
2069,ANZ,6.7
2069,EEU,9.3
2069,FSU,86
2069,MDE,47.5
2069,CAM,15.5
2069,LAM,65.4
2069,SAS,58.7
2069,SEA,89.2
2069,CHI,98.2
2069,MAF,30.5
2069,SSA,57.9
2069,SIS,3
2070,USA,41.6
2070,CAN,7.3
2070,WEU,19.2
2070,JPK,3.4
2070,ANZ,7.4
2070,EEU,9.5
2070,FSU,87.7
2070,MDE,47.9
2070,CAM,15.6
2070,LAM,66.2
2070,SAS,57.1
2070,SEA,90.8
2070,CHI,100.3
2070,MAF,30.3
2070,SSA,58.4
2070,SIS,3
2071,USA,41.9
2071,CAN,7.4
2071,WEU,19.3
2071,JPK,3.5
2071,ANZ,7
2071,EEU,9.4
2071,FSU,88.7
2071,MDE,48.2
2071,CAM,15.8
2071,LAM,66.8
2071,SAS,57.7
2071,SEA,92.1
2071,CHI,100.8
2071,MAF,30.6
2071,SSA,59.4
2071,SIS,3
2072,USA,42
2072,CAN,7.4
2072,WEU,19.4
2072,JPK,3.5
2072,ANZ,7.2
2072,EEU,9.5
2072,FSU,90.1
2072,MDE,48.1
2072,CAM,16
2072,LAM,67.2
2072,SAS,57.4
2072,SEA,92.8
2072,CHI,102.3
2072,MAF,30.8
2072,SSA,59.9
2072,SIS,3
2073,USA,42.1
2073,CAN,7.4
2073,WEU,19.4
2073,JPK,3.5
2073,ANZ,7.3
2073,EEU,9.7
2073,FSU,91.5
2073,MDE,48
2073,CAM,16.2
2073,LAM,67.6
2073,SAS,57
2073,SEA,93.4
2073,CHI,103.9
2073,MAF,31.1
2073,SSA,60.4
2073,SIS,3
2074,USA,42.1
2074,CAN,7.4
2074,WEU,19.5
2074,JPK,3.5
2074,ANZ,7.4
2074,EEU,9.8
2074,FSU,92.9
2074,MDE,47.9
2074,CAM,16.4
2074,LAM,68
2074,SAS,56.6
2074,SEA,94.1
2074,CHI,105.4
2074,MAF,31.4
2074,SSA,60.8
2074,SIS,3
2075,USA,41.9
2075,CAN,7.4
2075,WEU,19.5
2075,JPK,3.5
2075,ANZ,8.1
2075,EEU,10.2
2075,FSU,94.8
2075,MDE,47.4
2075,CAM,16.6
2075,LAM,68.1
2075,SAS,55.3
2075,SEA,94.3
2075,CHI,108
2075,MAF,31.7
2075,SSA,60.8
2075,SIS,3.1
2076,USA,42.3
2076,CAN,7.5
2076,WEU,19.6
2076,JPK,3.5
2076,ANZ,7.7
2076,EEU,10.1
2076,FSU,95.7
2076,MDE,47.7
2076,CAM,16.8
2076,LAM,68.7
2076,SAS,55.9
2076,SEA,95.5
2076,CHI,108.5
2076,MAF,31.9
2076,SSA,61.8
2076,SIS,3.1
2077,USA,42.8
2077,CAN,7.6
2077,WEU,19.7
2077,JPK,3.5
2077,ANZ,7.9
2077,EEU,10.2
2077,FSU,96.4
2077,MDE,47.2
2077,CAM,16.9
2077,LAM,69.3
2077,SAS,55.6
2077,SEA,95.4
2077,CHI,109.6
2077,MAF,32.3
2077,SSA,61.9
2077,SIS,3.1
2078,USA,43.3
2078,CAN,7.7
2078,WEU,19.9
2078,JPK,3.5
2078,ANZ,8
2078,EEU,10.2
2078,FSU,97.1
2078,MDE,46.6
2078,CAM,17
2078,LAM,69.9
2078,SAS,55.3
2078,SEA,95.4
2078,CHI,110.8
2078,MAF,32.7
2078,SSA,62.1
2078,SIS,3.1
2079,USA,43.7
2079,CAN,7.8
2079,WEU,20
2079,JPK,3.5
2079,ANZ,8.2
2079,EEU,10.3
2079,FSU,97.8
2079,MDE,46.1
2079,CAM,17.1
2079,LAM,70.4
2079,SAS,55.1
2079,SEA,95.3
2079,CHI,111.9
2079,MAF,33.1
2079,SSA,62.3
2079,SIS,3.1
2080,USA,44.4
2080,CAN,7.9
2080,WEU,20.1
2080,JPK,3.5
2080,ANZ,8.9
2080,EEU,10.5
2080,FSU,98.2
2080,MDE,44.7
2080,CAM,17.1
2080,LAM,71
2080,SAS,53.9
2080,SEA,94
2080,CHI,113.7
2080,MAF,33.7
2080,SSA,61.7
2080,SIS,3.1
2081,USA,44.7
2081,CAN,8
2081,WEU,20.3
2081,JPK,3.5
2081,ANZ,8.5
2081,EEU,10.4
2081,FSU,99.1
2081,MDE,45
2081,CAM,17.3
2081,LAM,71.6
2081,SAS,54.5
2081,SEA,95.3
2081,CHI,114.2
2081,MAF,33.9
2081,SSA,62.6
2081,SIS,3.1
2082,USA,45.2
2082,CAN,8.1
2082,WEU,20.4
2082,JPK,3.5
2082,ANZ,8.7
2082,EEU,10.5
2082,FSU,99.7
2082,MDE,44.3
2082,CAM,17.5
2082,LAM,72.9
2082,SAS,54.4
2082,SEA,95.5
2082,CHI,115.3
2082,MAF,34.5
2082,SSA,62.7
2082,SIS,3.1
2083,USA,45.8
2083,CAN,8.2
2083,WEU,20.5
2083,JPK,3.5
2083,ANZ,8.8
2083,EEU,10.7
2083,FSU,100.2
2083,MDE,43.7
2083,CAM,17.6
2083,LAM,74.3
2083,SAS,54.3
2083,SEA,95.7
2083,CHI,116.5
2083,MAF,35
2083,SSA,62.9
2083,SIS,3.2
2084,USA,46.3
2084,CAN,8.3
2084,WEU,20.7
2084,JPK,3.5
2084,ANZ,9
2084,EEU,10.8
2084,FSU,100.8
2084,MDE,43
2084,CAM,17.7
2084,LAM,75.7
2084,SAS,54.2
2084,SEA,95.9
2084,CHI,117.6
2084,MAF,35.6
2084,SSA,63
2084,SIS,3.2
2085,USA,47
2085,CAN,8.4
2085,WEU,20.8
2085,JPK,3.5
2085,ANZ,9.6
2085,EEU,11.1
2085,FSU,100.9
2085,MDE,41.4
2085,CAM,17.8
2085,LAM,77.8
2085,SAS,53.3
2085,SEA,95.2
2085,CHI,119.3
2085,MAF,36.4
2085,SSA,62.2
2085,SIS,3.2
2086,USA,47.3
2086,CAN,8.5
2086,WEU,20.9
2086,JPK,3.6
2086,ANZ,9.2
2086,EEU,11
2086,FSU,101.9
2086,MDE,41.7
2086,CAM,18
2086,LAM,78.4
2086,SAS,54
2086,SEA,96.4
2086,CHI,119.8
2086,MAF,36.7
2086,SSA,63.2
2086,SIS,3.2
2087,USA,47.9
2087,CAN,8.6
2087,WEU,21.1
2087,JPK,3.6
2087,ANZ,9.4
2087,EEU,11
2087,FSU,102.5
2087,MDE,41.2
2087,CAM,18.2
2087,LAM,79.6
2087,SAS,53.9
2087,SEA,96
2087,CHI,120.8
2087,MAF,37.2
2087,SSA,63.2
2087,SIS,3.2
2088,USA,48.4
2088,CAN,8.7
2088,WEU,21.2
2088,JPK,3.6
2088,ANZ,9.5
2088,EEU,11.1
2088,FSU,103
2088,MDE,40.7
2088,CAM,18.3
2088,LAM,80.7
2088,SAS,53.8
2088,SEA,95.5
2088,CHI,121.8
2088,MAF,37.6
2088,SSA,63.3
2088,SIS,3.2
2089,USA,49
2089,CAN,8.8
2089,WEU,21.4
2089,JPK,3.6
2089,ANZ,9.7
2089,EEU,11.1
2089,FSU,103.6
2089,MDE,40.1
2089,CAM,18.4
2089,LAM,81.9
2089,SAS,53.8
2089,SEA,95.1
2089,CHI,122.8
2089,MAF,38.1
2089,SSA,63.3
2089,SIS,3.2
2090,USA,49.8
2090,CAN,8.9
2090,WEU,21.6
2090,JPK,3.7
2090,ANZ,10.4
2090,EEU,11.3
2090,FSU,103.8
2090,MDE,38.8
2090,CAM,18.5
2090,LAM,83.6
2090,SAS,53
2090,SEA,93
2090,CHI,124.3
2090,MAF,38.8
2090,SSA,62.4
2090,SIS,3.2
2091,USA,50.1
2091,CAN,9
2091,WEU,21.7
2091,JPK,3.7
2091,ANZ,10
2091,EEU,11.2
2091,FSU,104.7
2091,MDE,39.1
2091,CAM,18.7
2091,LAM,84.2
2091,SAS,53.6
2091,SEA,94.2
2091,CHI,124.8
2091,MAF,39
2091,SSA,63.4
2091,SIS,3.3
2092,USA,50.7
2092,CAN,9.1
2092,WEU,21.9
2092,JPK,3.7
2092,ANZ,10.3
2092,EEU,11.2
2092,FSU,105.2
2092,MDE,38.7
2092,CAM,18.8
2092,LAM,85
2092,SAS,53.7
2092,SEA,94.4
2092,CHI,125.6
2092,MAF,39.5
2092,SSA,63.5
2092,SIS,3.3
2093,USA,51.3
2093,CAN,9.2
2093,WEU,22.1
2093,JPK,3.7
2093,ANZ,10.6
2093,EEU,11.1
2093,FSU,105.6
2093,MDE,38.3
2093,CAM,18.9
2093,LAM,85.7
2093,SAS,53.7
2093,SEA,94.7
2093,CHI,126.3
2093,MAF,40
2093,SSA,63.6
2093,SIS,3.3
2094,USA,51.9
2094,CAN,9.3
2094,WEU,22.3
2094,JPK,3.7
2094,ANZ,10.9
2094,EEU,11.1
2094,FSU,106
2094,MDE,37.9
2094,CAM,19
2094,LAM,86.4
2094,SAS,53.8
2094,SEA,94.9
2094,CHI,127.1
2094,MAF,40.4
2094,SSA,63.8
2094,SIS,3.3
2095,USA,52.8
2095,CAN,9.4
2095,WEU,22.6
2095,JPK,3.6
2095,ANZ,11.9
2095,EEU,11.1
2095,FSU,105.9
2095,MDE,36.8
2095,CAM,19
2095,LAM,87.3
2095,SAS,53.2
2095,SEA,94.2
2095,CHI,128.2
2095,MAF,41.1
2095,SSA,63
2095,SIS,3.3
2096,USA,53.1
2096,CAN,9.5
2096,WEU,22.7
2096,JPK,3.7
2096,ANZ,11.5
2096,EEU,11
2096,FSU,106.9
2096,MDE,37
2096,CAM,19.2
2096,LAM,87.9
2096,SAS,53.9
2096,SEA,95.4
2096,CHI,128.7
2096,MAF,41.4
2096,SSA,64
2096,SIS,3.3
2097,USA,53.7
2097,CAN,9.6
2097,WEU,22.9
2097,JPK,3.7
2097,ANZ,11.8
2097,EEU,11
2097,FSU,107.5
2097,MDE,36.8
2097,CAM,19.3
2097,LAM,88.8
2097,SAS,53.9
2097,SEA,94.9
2097,CHI,129.3
2097,MAF,41.5
2097,SSA,64
2097,SIS,3.3
2098,USA,54.3
2098,CAN,9.7
2098,WEU,23.1
2098,JPK,3.7
2098,ANZ,12.2
2098,EEU,11
2098,FSU,108.1
2098,MDE,36.5
2098,CAM,19.3
2098,LAM,89.8
2098,SAS,53.9
2098,SEA,94.3
2098,CHI,129.9
2098,MAF,41.6
2098,SSA,63.9
2098,SIS,3.3
2099,USA,54.9
2099,CAN,9.9
2099,WEU,23.3
2099,JPK,3.7
2099,ANZ,12.5
2099,EEU,11
2099,FSU,108.6
2099,MDE,36.3
2099,CAM,19.4
2099,LAM,90.7
2099,SAS,53.9
2099,SEA,93.8
2099,CHI,130.5
2099,MAF,41.6
2099,SSA,63.8
2099,SIS,3.3
2100,USA,55.8
2100,CAN,10
2100,WEU,23.6
2100,JPK,3.7
2100,ANZ,13.5
2100,EEU,11.1
2100,FSU,108.8
2100,MDE,35.5
2100,CAM,19.4
2100,LAM,92
2100,SAS,53.3
2100,SEA,91.5
2100,CHI,131.3
2100,MAF,41.6
2100,SSA,62.7
2100,SIS,3.3
2101,USA,56
2101,CAN,10.1
2101,WEU,23.7
2101,JPK,3.7
2101,ANZ,13.5
2101,EEU,11.2
2101,FSU,109.2
2101,MDE,35.6
2101,CAM,19.5
2101,LAM,92.3
2101,SAS,53.5
2101,SEA,91.8
2101,CHI,131.9
2101,MAF,41.7
2101,SSA,63
2101,SIS,3.4
2102,USA,56.3
2102,CAN,10.1
2102,WEU,23.8
2102,JPK,3.7
2102,ANZ,13.6
2102,EEU,11.2
2102,FSU,109.7
2102,MDE,35.8
2102,CAM,19.6
2102,LAM,92.7
2102,SAS,53.8
2102,SEA,92.2
2102,CHI,132.4
2102,MAF,41.9
2102,SSA,63.2
2102,SIS,3.4
2103,USA,56.5
2103,CAN,10.2
2103,WEU,23.9
2103,JPK,3.7
2103,ANZ,13.6
2103,EEU,11.2
2103,FSU,110.2
2103,MDE,35.9
2103,CAM,19.6
2103,LAM,93.1
2103,SAS,54
2103,SEA,92.6
2103,CHI,133
2103,MAF,42.1
2103,SSA,63.5
2103,SIS,3.4
2104,USA,56.7
2104,CAN,10.2
2104,WEU,24
2104,JPK,3.8
2104,ANZ,13.7
2104,EEU,11.3
2104,FSU,110.6
2104,MDE,36.1
2104,CAM,19.7
2104,LAM,93.5
2104,SAS,54.2
2104,SEA,93
2104,CHI,133.5
2104,MAF,42.3
2104,SSA,63.7
2104,SIS,3.4
2105,USA,57
2105,CAN,10.2
2105,WEU,24.1
2105,JPK,3.8
2105,ANZ,13.8
2105,EEU,11.3
2105,FSU,111.1
2105,MDE,36.2
2105,CAM,19.8
2105,LAM,93.9
2105,SAS,54.4
2105,SEA,93.4
2105,CHI,134.1
2105,MAF,42.4
2105,SSA,64
2105,SIS,3.4
2106,USA,57.2
2106,CAN,10.3
2106,WEU,24.2
2106,JPK,3.8
2106,ANZ,13.8
2106,EEU,11.4
2106,FSU,111.5
2106,MDE,36.4
2106,CAM,19.9
2106,LAM,94.3
2106,SAS,54.7
2106,SEA,93.8
2106,CHI,134.6
2106,MAF,42.6
2106,SSA,64.3
2106,SIS,3.4
2107,USA,57.4
2107,CAN,10.3
2107,WEU,24.3
2107,JPK,3.8
2107,ANZ,13.9
2107,EEU,11.4
2107,FSU,112
2107,MDE,36.5
2107,CAM,20
2107,LAM,94.7
2107,SAS,54.9
2107,SEA,94.2
2107,CHI,135.2
2107,MAF,42.8
2107,SSA,64.5
2107,SIS,3.4
2108,USA,57.7
2108,CAN,10.4
2108,WEU,24.4
2108,JPK,3.8
2108,ANZ,13.9
2108,EEU,11.5
2108,FSU,112.5
2108,MDE,36.7
2108,CAM,20.1
2108,LAM,95.1
2108,SAS,55.1
2108,SEA,94.5
2108,CHI,135.7
2108,MAF,43
2108,SSA,64.8
2108,SIS,3.5
2109,USA,57.9
2109,CAN,10.4
2109,WEU,24.5
2109,JPK,3.8
2109,ANZ,14
2109,EEU,11.5
2109,FSU,112.9
2109,MDE,36.8
2109,CAM,20.1
2109,LAM,95.5
2109,SAS,55.3
2109,SEA,94.9
2109,CHI,136.3
2109,MAF,43.1
2109,SSA,65.1
2109,SIS,3.5
2110,USA,58.2
2110,CAN,10.5
2110,WEU,24.6
2110,JPK,3.9
2110,ANZ,14
2110,EEU,11.6
2110,FSU,113.4
2110,MDE,37
2110,CAM,20.2
2110,LAM,95.8
2110,SAS,55.6
2110,SEA,95.3
2110,CHI,136.9
2110,MAF,43.3
2110,SSA,65.3
2110,SIS,3.5
2111,USA,58.4
2111,CAN,10.5
2111,WEU,24.7
2111,JPK,3.9
2111,ANZ,14.1
2111,EEU,11.6
2111,FSU,113.8
2111,MDE,37.1
2111,CAM,20.3
2111,LAM,96.2
2111,SAS,55.8
2111,SEA,95.7
2111,CHI,137.4
2111,MAF,43.5
2111,SSA,65.6
2111,SIS,3.5
